Time,MicRef,MicTar,Delay,Score
0.0,1,5,2.2675736961451248e-05,0.15245123207569122
0.2,1,5,-0.009365079365079364,0.08303149044513702
0.4,1,5,0.0,0.30879440903663635
1.0,1,5,2.2675736961451248e-05,0.2053101658821106
1.0,1,6,0.0,0.0913560763001442
1.4,1,5,-0.021904761904761906,0.08648347854614258
1.6,1,5,-0.028503401360544217,0.08349800109863281
2.0,1,2,-2.2675736961451248e-05,0.09081274271011353
2.2,1,5,-0.034081632653061224,0.08057314157485962
2.2,1,5,0.004739229024943311,0.08777454495429993
2.4,1,5,0.0,0.20118336379528046
2.4,1,5,0.004739229024943311,0.08465097099542618
2.6,1,5,-0.041065759637188205,0.08949869871139526
2.8,1,2,0.0,0.10612522810697556
2.8,1,3,0.0,0.11728107929229736
2.8,1,4,0.0,0.08161725103855133
2.8,1,5,-0.041065759637188205,0.08198431134223938
2.8,1,5,-0.0013378684807256237,0.0852220356464386
2.8,1,5,-2.2675736961451248e-05,0.0928536206483841
2.8,1,6,0.0,0.08527153730392456
2.8,1,7,0.0,0.08520997315645218
3.0,1,5,-0.001564625850340136,0.10297012329101562
3.2,1,5,-0.04659863945578231,0.08492113649845123
3.2,1,5,-0.001564625850340136,0.10044844448566437
3.4,1,5,-0.046485260770975055,0.08414869755506516
3.6,1,2,-4.5351473922902495e-05,0.1085486114025116
3.6,1,3,-4.5351473922902495e-05,0.12011312693357468
3.6,1,4,-4.5351473922902495e-05,0.13686367869377136
3.6,1,5,-4.5351473922902495e-05,0.14162877202033997
3.6,1,6,-2.2675736961451248e-05,0.13068190217018127
3.6,1,7,-4.5351473922902495e-05,0.13688018918037415
3.6,1,8,0.0,0.2329925298690796
3.8,1,5,-0.005600907029478458,0.1060941144824028
3.8,1,5,-0.0053741496598639455,0.08320733904838562
4.0,1,5,-0.005600907029478458,0.10651645064353943
4.4,1,2,-0.00011337868480725624,0.09444545209407806
4.4,1,3,-9.070294784580499e-05,0.11012956500053406
4.4,1,5,0.0,0.2923547029495239
4.6,1,5,-0.0076870748299319724,0.13078129291534424
4.8,1,5,-0.0076870748299319724,0.12706631422042847
5.4,1,5,-0.008798185941043084,0.11927768588066101
5.6,1,5,-0.008798185941043084,0.12884405255317688
5.8,1,5,-0.008798185941043084,0.0916401594877243
6.2,1,5,-0.009138321995464853,0.11443886160850525
6.4,1,5,-0.009138321995464853,0.12133494019508362
7.0,1,5,-0.009365079365079364,0.11532091349363327
7.2,1,5,-0.009342403628117914,0.11261282116174698
