# Temps,Bird_ID,X,Y,Z
0.0000,0.0000,10.0000,10.0000,5.0000
0.0000,1.0000,40.0000,10.0000,20.0000
0.0500,1.0000,39.8125,10.0000,20.2232
0.0500,0.0000,10.5000,10.5000,5.2544
0.1000,0.0000,11.0000,11.0000,5.5088
0.1000,1.0000,39.6250,10.0000,20.4463
0.1500,0.0000,11.5000,11.5000,5.7631
0.1500,1.0000,39.4375,10.0000,20.6694
0.2000,0.0000,12.0000,12.0000,6.0173
0.2000,1.0000,39.2500,10.0000,20.8923
0.2500,1.0000,39.0625,10.0000,21.1151
0.2500,0.0000,12.5000,12.5000,6.2713
0.3000,1.0000,38.8750,10.0000,21.3377
0.3000,0.0000,13.0000,13.0000,6.5252
0.3500,1.0000,38.6875,10.0000,21.5601
0.3500,0.0000,13.5000,13.5000,6.7788
0.4000,1.0000,38.5000,10.0000,21.7822
0.4000,0.0000,14.0000,14.0000,7.0322
0.4500,1.0000,38.3125,10.0000,22.0040
0.4500,0.0000,14.5000,14.5000,7.2852
0.5000,1.0000,38.1250,10.0000,22.2255
0.5000,0.0000,15.0000,15.0000,7.5380
0.5500,1.0000,37.9375,10.0000,22.4466
0.5500,0.0000,15.5000,15.5000,7.7903
0.6000,0.0000,16.0000,16.0000,8.0422
0.6000,1.0000,37.7500,10.0000,22.6672
0.6500,0.0000,16.5000,16.5000,8.2937
0.6500,1.0000,37.5625,10.0000,22.8875
0.7000,0.0000,17.0000,17.0000,8.5447
0.7000,1.0000,37.3750,10.0000,23.1072
0.7500,1.0000,37.1875,10.0000,23.3264
0.7500,0.0000,17.5000,17.5000,8.7952
0.8000,0.0000,18.0000,18.0000,9.0451
0.8000,1.0000,37.0000,10.0000,23.5451
0.8500,0.0000,18.5000,18.5000,9.2944
0.8500,1.0000,36.8125,10.0000,23.7632
0.9000,0.0000,19.0000,19.0000,9.5431
0.9000,1.0000,36.6250,10.0000,23.9806
0.9500,0.0000,19.5000,19.5000,9.7911
0.9500,1.0000,36.4375,10.0000,24.1974
1.0000,1.0000,36.2500,10.0000,24.4134
1.0000,0.0000,20.0000,20.0000,10.0384
1.0500,0.0000,20.5000,20.5000,10.2850
1.0500,1.0000,36.0625,10.0000,24.6288
1.1000,0.0000,21.0000,21.0000,10.5308
1.1000,1.0000,35.8750,10.0000,24.8433
1.1500,0.0000,21.5000,21.5000,10.7758
1.1500,1.0000,35.6875,10.0000,25.0571
1.2000,0.0000,22.0000,22.0000,11.0200
1.2000,1.0000,35.5000,10.0000,25.2700
1.2500,0.0000,22.5000,22.5000,11.2633
1.2500,1.0000,35.3125,10.0000,25.4820
1.3000,1.0000,35.1250,10.0000,25.6931
1.3000,0.0000,23.0000,23.0000,11.5056
1.3500,0.0000,23.5000,23.5000,11.7471
1.3500,1.0000,34.9375,10.0000,25.9033
1.4000,1.0000,34.7500,10.0000,26.1125
1.4000,0.0000,24.0000,24.0000,11.9875
1.4500,1.0000,34.5625,10.0000,26.3207
1.4500,0.0000,24.5000,24.5000,12.2270
1.5000,0.0000,25.0000,25.0000,12.4654
1.5000,1.0000,34.3750,10.0000,26.5279
1.5500,1.0000,34.1875,10.0000,26.7340
1.5500,0.0000,25.5000,25.5000,12.7027
1.6000,0.0000,26.0000,26.0000,12.9389
1.6000,1.0000,34.0000,10.0000,26.9389
1.6500,1.0000,33.8125,10.0000,27.1428
